symbol,company,current_rank,previous_rank,rank_change,direction,current_market_cap,market_cap_change_pct
UNH,Unitedhealth Group Inc,30,37,7,UP,276.10B,21.314644755920742
MRK,Merck & Co Inc,43,47,4,UP,213.09B,5.725626395435372
TMUS,T-Mobile US Inc,28,31,3,UP,283.31B,2.7565195313916884
JNJ,Johnson & Johnson,19,21,2,UP,429.67B,2.9297623610578807
MCD,McDonald's Corp,39,41,2,UP,223.67B,2.615038766802766
AXP,American Express Co,42,44,2,UP,219.76B,6.174509614455504
DIS,Walt Disney Co,44,46,2,UP,211.63B,4.694766003759775
JPM,JPMorgan Chase & Co,11,12,1,UP,810.90B,2.1258910354902896
V,Visa Inc,13,14,1,UP,672.04B,3.5756118611676118
HD,"Home Depot, Inc",21,22,1,UP,406.83B,5.429148958225352
ABBV,Abbvie Inc,23,24,1,UP,366.65B,4.796067110641087
BAC,Bank Of America Corp,24,25,1,UP,366.50B,7.544235452918214
LIN,Linde Plc,38,39,1,UP,224.07B,1.1511375947995588
T,"AT&T, Inc",47,48,1,UP,205.50B,2.35083175615101
PEP,PepsiCo Inc,48,49,1,UP,202.90B,2.0623742454728338
CAT,Caterpillar Inc,49,50,1,UP,202.52B,3.787218777225447
WMT,Walmart Inc,12,11,-1,DOWN,766.68B,-7.3845447626870895
ORCL,Oracle Corp,14,13,-1,DOWN,661.23B,-5.85463088203887
GE,GE Aerospace,29,28,-1,DOWN,282.72B,-3.055241230326087
PM,Philip Morris International Inc,33,32,-1,DOWN,260.53B,-1.6496791241978122
WFC,Wells Fargo & Co,34,33,-1,DOWN,256.88B,3.0033281206143028
BX,Blackstone Inc,46,45,-1,DOWN,208.18B,0.9651292497211355
PG,Procter & Gamble Co,25,23,-2,DOWN,365.76B,1.7186717837477077
CSCO,"Cisco Systems, Inc",31,29,-2,DOWN,265.87B,-6.479299307045627
AMD,Advanced Micro Devices Inc,32,30,-2,DOWN,265.11B,-5.439435012127265
RTX,RTX Corp,45,43,-2,DOWN,209.17B,0.9069419653625335
PLTR,Palantir Technologies Inc,22,19,-3,DOWN,372.86B,-15.529779570014274
ABT,Abbott Laboratories,37,34,-3,DOWN,229.51B,-1.7970989688075039
IBM,International Business Machines Corp,41,38,-3,DOWN,223.03B,-1.1742289968096444
